LOCATION,total,co2_pc,co2_per_kg_meat,cluster,BEEF_sh,PIG_sh,POULTRY_sh,SHEEP_sh
ARG,89.91005330543511,4520.448758022029,50.277456100104054,3,0.44407908800776763,0.12054984512923761,0.42467132141533454,0.010699745447660275
AUS,92.22733540639831,2875.6988402072525,31.180547801099646,3,0.20504410547276058,0.2375265809730206,0.47846848768784017,0.0789608258663787
BRA,77.17698516558137,3001.46978657401,38.89073640456969,3,0.3170958384989908,0.15982536315910886,0.51584916917718,0.007229629164720234
CAN,68.75004409585297,2356.0327133483215,34.26954475932385,3,0.2613257044625987,0.2333773037464513,0.49147093613637616,0.013826055654574017
CHE,51.241232185330695,1784.5458588184993,34.82636507186449,0,0.259018359767754,0.44005726909953063,0.27841213942507054,0.022512231707644784
CHL,74.69657332727152,2475.588539393352,33.141929129023666,3,0.2509129835768413,0.2543393302411046,0.48915208467737675,0.005595601504677369
CHN,48.936114946718405,991.8283110963165,20.267818811857424,0,0.07772385475173664,0.6219885714769765,0.23612234519003145,0.06416522858125549
COL,49.51526004058131,1476.100682132267,29.81102554894181,3,0.21719249416364864,0.16086892570136474,0.6190613282681213,0.002877251866865252
EGY,20.221400145668014,936.3105585369383,46.302953890041195,3,0.3884715445246774,0.0003602448511921256,0.5568586699960588,0.0543095406280716
ETH,3.1745340289056414,275.76023260747456,86.86636529851202,2,0.8091338615120067,0.004679682922601888,0.036154243100066784,0.15003221246532458
GBR,60.921100116767136,1811.8539544112307,29.74099205264613,3,0.19161493889418726,0.2850099870235961,0.45620746905707643,0.06716760502514024
IDN,10.999146871287321,301.57128732298304,27.417698013490355,1,0.18024092027914818,0.09277496411534224,0.6877902048907873,0.03919391071472208
IND,3.558823142270648,95.7175593544777,26.89584605022173,1,0.14528524091798092,0.04870437709766676,0.6757592285021695,0.13025115348218272
IRN,32.64804379458461,932.4971473498653,28.562113957484346,1,0.16554763612188902,0.0005243944206870612,0.7047450293497055,0.12918294010771839
ISR,88.29916136295492,2755.858648106545,31.210473639478295,1,0.23173726623678811,0.015673701891692638,0.7346240945387223,0.017964937332796714
JPN,40.68809383753433,1112.2483770054691,27.33596666992131,0,0.18275899448909333,0.3973848249524711,0.41585905490116154,0.0039971256572739365
KAZ,47.33428079247822,2450.670454597032,51.773691573369426,2,0.4069985730546022,0.1026112326241809,0.31678288998810084,0.17360730433311616
KOR,59.25720395690786,1644.3156923059837,27.748789725241483,0,0.18401239493852237,0.507306179624616,0.3036022985853901,0.005079126851471586
MEX,51.5794510815214,1350.5774549243833,26.184409228973642,3,0.17160165019057247,0.2607910097119675,0.5575284358529291,0.010078904244530841
MYS,60.40619303520506,1110.7671855558942,18.388299770994227,1,0.08643484268858238,0.0886983347052606,0.8062252956048329,0.018641527001324088
NGA,5.133062647529938,227.03708911059732,44.23033668210712,2,0.26231144403089557,0.21861486042035982,0.17330525591481194,0.34576843963393267
NOR,55.54324954293993,1954.9311608923597,35.19655722305232,0,0.24584747821876943,0.36406408041740906,0.30942350522814616,0.08066493613567537
NZL,74.88571428513363,1988.2019909712308,26.549816743431,3,0.15830159361253726,0.2524916273413958,0.5262811050394159,0.06292567400665092
PAK,14.380505411422018,776.4867146740903,53.99578752338909,2,0.4450564288810807,5.131927064356378e-08,0.41275655812003637,0.1421869616796123
PER,53.830155596615214,945.9929039669985,17.573660961635444,1,0.07734694217762418,0.07700697185428852,0.8260579967964263,0.019588089171660904
PHL,31.5773958864056,643.6431567024097,20.38303471944958,0,0.0990672130812088,0.4726534547452705,0.41212029278779216,0.016159039385728557
PRY,41.106400649005124,1699.8326736853278,41.352019316886306,0,0.3329252315041312,0.5264142297769293,0.1284615906068656,0.012198948112073746
RUS,62.8483680446371,1642.1629176429751,26.12896672952039,3,0.16563926249426944,0.31252429266080584,0.49994454724638077,0.021891897598543993
SAU,40.58240468412419,873.9391275186192,21.534927127186812,1,0.09818499174911205,0.012487243617561506,0.7943160010781496,0.09501176355517686
THA,19.22876879722385,332.1730960053769,17.274797960716775,0,0.06778964999389947,0.5177565029042431,0.4122145989384708,0.00223924816338656
TUR,32.09723045320622,1209.256617446369,37.67479624789793,1,0.265581574276025,5.6364714489541954e-08,0.6002129677011895,0.13420540165807102
UKR,38.841367978590654,870.3653940590509,22.408206491048308,3,0.12878956910971082,0.32182830599266565,0.54227619067635,0.007105934221273474
USA,99.29194581368476,3388.251428173551,34.1241316242447,3,0.2627692279226898,0.23213672236338193,0.5003715201485742,0.004722529565354054
VNM,52.49205715453022,1426.0982227700613,27.167885963619256,0,0.17659007760060183,0.5656957808196335,0.2545867913409232,0.0031273502388414853
ZAF,52.07537070797505,1698.365072537202,32.613595437681774,1,0.23517150038004045,0.0662520789850951,0.6480497132344384,0.050526707400426
